date	New York	San Francisco	Austin
20111001	6304	6207	3000
20111002	5800	5909	6707
20111003	5303	5901	6904
20111004	5507	5808	6800
20111005	6402	5807	7204
20111006	5808	5700	7700
20111007	5709	5607	8203
20111008	6108	5608	7809
20111009	6903	5607	6808
20111010	7102	6001	6807
20111011	6807	6101	7003
20111012	6108	6105	7503
20111013	6300	6403	7606
20111014	6609	6701	6606
20111015	6107	6406	6800
20111016	6108	6106	7006
20111017	6208	6101	7101
20111018	6008	5902	7000
20111019	6201	5809	6106
20111020	6501	5702	5704
20111021	5506	5604	6403
20111022	5404	6007	7204
20111023	5404	6501	7204
20111024	5408	6009	7205
20111025	5709	5601	7207
20111026	5406	5406	7304
20111027	5404	5601	7007
20111028	4205	5801	5608
20111029	4009	5705	5100
20111030	3806	5707	5409
20111031	4402	5501	5808
20111101	4906	5709	6206
20111102	4702	6406	7100
20111103	5001	5602	5804
20111104	5001	5005	4501
20111105	4305	5103	5202
20111106	4308	5206	7300
20111107	4809	5104	7504
20111108	5505	5006	7201
20111109	5307	5406	5606
20111110	5707	5506	5504
20111111	4805	5309	4607
20111112	4608	5400	6200
20111113	5101	5308	7106
20111114	5608	5305	7505
20111115	5907	5304	7201
20111116	5605	5202	6507
20111117	4906	5207	5608
20111118	4105	5301	4909
20111119	4403	4900	7107
20111120	5400	5004	7707
20111121	5401	5101	7604
20111122	4904	5203	6808
20111123	5000	5406	5700
20111124	4400	5501	5505
20111125	5003	5105	6106
20111126	5201	5306	6401
20111127	4906	5203	5101
20111128	5702	5100	4300
20111129	5901	4905	4604
20111130	5006	4908	4800
20111201	4403	6004	4801
20111202	4309	6202	6006
20111203	4201	5803	6206
20111204	4309	5207	5701
20111205	5002	5105	4402
20111206	5402	4909	3704
20111207	5406	4806	3500
20111208	4304	4604	3700
20111209	4202	4908	4504
20111210	4500	5201	5007
20111211	3308	4808	4806
20111212	3608	4704	5202
20111213	3806	4702	6008
20111214	4109	4601	7000
20111215	4906	4808	6402
20111216	5002	4709	5009
20111217	4006	4908	5106
20111218	2901	4901	5502
20111219	3307	4803	6201
20111220	4508	4903	5603
20111221	4704	4804	4702
20111222	5404	5303	5203
20111223	4708	4705	4502
20111224	3409	4709	4306
20111225	3509	4809	4209
20111226	4306	4509	4802
20111227	4209	4702	4504
20111228	4602	4809	4402
20111229	3008	5009	5004
20111230	4008	5209	5204
20111231	4908	5001	5305
20120101	4603	5309	5509
20120102	4302	5301	4802
20120103	3003	4907	4100
20120104	1902	5207	4809
20120105	3201	5206	5408
20120106	4102	4900	6102
20120107	4700	5100	5907
20120108	4600	5608	5205
20120109	3407	5203	5400
20120110	3904	5106	4707
20120111	4004	4908	4902
20120112	4504	5109	4804
20120113	4007	5307	4002
20120114	3004	5209	4309
20120115	2309	4907	4502
20120116	2206	4503	6500
20120117	3908	4306	6802
20120118	4302	4500	4705
20120119	2603	4703	5701
20120120	3208	5104	6109
20120121	2704	5307	5406
20120122	2500	4803	5607
20120123	3904	5209	5404
20120124	4807	4901	5207
20120125	4300	5201	6108
20120126	3701	5306	5500
20120127	4802	5004	5007
20120128	4307	5003	5209
20120129	4001	5308	4404
20120130	3800	5109	4901
20120131	4305	5000	6208
20120201	5004	5000	6406
20120202	4508	5103	6101
20120203	3705	5105	7000
20120204	4008	5200	6103
20120205	3605	5308	4802
20120206	3901	5406	4402
20120207	4302	5403	5103
20120208	3605	5109	4902
20120209	3605	5308	4507
20120210	3803	5309	5401
20120211	3609	5203	4409
20120212	2907	5001	3605
20120213	3301	4905	4408
20120214	3906	4806	5203
20120215	4203	4909	6800
20120216	3907	5204	5406
20120217	4600	4909	5308
20120218	4102	5106	5602
20120219	3908	4708	5008
20120220	3801	4807	5300
20120221	3701	4907	6100
20120222	4505	5304	6808
